10000001 102608 CUSTOMER-002608      007482415
10000002 100514 CUSTOMER-000514      073014273
10000003 102128 CUSTOMER-002128      078734415
10000004 100562 CUSTOMER-000562      009893937
10000005 104144 CUSTOMER-004144      072165423
10000006 102998 CUSTOMER-002998      000252853
10000007 101396 CUSTOMER-001396      013339763
10000008 103262 CUSTOMER-003262      083408061
10000009 101816 CUSTOMER-001816      076709399
10000010 100262 CUSTOMER-000262      099743237
10000011 101156 CUSTOMER-001156      038158211
10000012 100166 CUSTOMER-000166      065740709
10000013 104192 CUSTOMER-004192      003066719
10000014 101378 CUSTOMER-001378      082042209
10000015 100856 CUSTOMER-000856      098909783
10000016 101486 CUSTOMER-001486      088940493
10000017 100892 CUSTOMER-000892      074252411
10000018 101858 CUSTOMER-001858      036831809
10000019 103448 CUSTOMER-003448      006732151
10000020 100766 CUSTOMER-000766      033480701
10000021 103556 CUSTOMER-003556      048731363
10000022 100118 CUSTOMER-000118      057060981
10000023 103400 CUSTOMER-003400      072462407
10000024 103814 CUSTOMER-003814      017005541
10000025 102920 CUSTOMER-002920      061358439
10000026 101690 CUSTOMER-001690      029640345
10000027 103292 CUSTOMER-003292      063822299
10000028 100802 CUSTOMER-000802      072604449
10000029 104528 CUSTOMER-004528      062770095
10000030 103562 CUSTOMER-003562      033022697
10000031 101672 CUSTOMER-001672      081999239
10000032 102350 CUSTOMER-002350      000261421
10000033 102032 CUSTOMER-002032      042593775
10000034 101006 CUSTOMER-001006      017279213
10000035 104324 CUSTOMER-004324      051248099
10000036 103706 CUSTOMER-003706      050415225
10000037 103652 CUSTOMER-003652      046390595
10000038 101258 CUSTOMER-001258      014723817
10000039 103328 CUSTOMER-003328      073076991
10000040 101030 CUSTOMER-001030      059094021
10000041 100388 CUSTOMER-000388      096775811
10000042 101942 CUSTOMER-001942      086249877
10000043 103148 CUSTOMER-003148      050225739
10000044 101078 CUSTOMER-001078      082924853
10000045 101924 CUSTOMER-001924      080425347
10000046 101006 CUSTOMER-001006      082604013
10000047 103484 CUSTOMER-003484      092221595
10000048 101978 CUSTOMER-001978      008707513
10000049 100136 CUSTOMER-000136      047393415
10000050 103958 CUSTOMER-003958      039443829
10000051 104192 CUSTOMER-004192      004234335
10000052 100310 CUSTOMER-000310      084759861
10000053 101768 CUSTOMER-001768      033085415
10000054 100574 CUSTOMER-000574      062358845
10000055 100436 CUSTOMER-000436      072394931
10000056 104438 CUSTOMER-004438      056678229
10000057 102896 CUSTOMER-002896      082000463
10000058 102266 CUSTOMER-002266      006084825
10000059 102368 CUSTOMER-002368      047432511
10000060 102842 CUSTOMER-002842      052285209
10000061 104480 CUSTOMER-004480      007202175
10000062 104150 CUSTOMER-004150      043626293
10000063 102740 CUSTOMER-002740      055495091
10000064 100154 CUSTOMER-000154      033152921
10000065 100148 CUSTOMER-000148      008442003
10000066 104342 CUSTOMER-004342      050824181
10000067 104228 CUSTOMER-004228      012321411
10000068 101606 CUSTOMER-001606      068531781
10000069 104192 CUSTOMER-004192      018167135
10000070 104474 CUSTOMER-004474      042167673
10000071 102368 CUSTOMER-002368      042478911
10000072 100586 CUSTOMER-000586      019495241
10000073 101600 CUSTOMER-001600      029815359
10000074 100766 CUSTOMER-000766      098805501
10000075 102716 CUSTOMER-002716      089704859
10000076 101258 CUSTOMER-001258      000604905
10000077 104492 CUSTOMER-004492      073465227
10000078 101906 CUSTOMER-001906      041725553
10000079 100916 CUSTOMER-000916      007264147
10000080 100970 CUSTOMER-000970      055306185
10000081 100064 CUSTOMER-000064      000131903
10000082 104042 CUSTOMER-004042      048713417
10000083 101816 CUSTOMER-001816      084939287
10000084 102314 CUSTOMER-002314      006776073
10000085 100904 CUSTOMER-000904      068825991
10000086 103610 CUSTOMER-003610      023742233
10000087 102656 CUSTOMER-002656      012553055
10000088 103610 CUSTOMER-003610      075605273
10000089 104060 CUSTOMER-004060      011056859
10000090 103898 CUSTOMER-003898      054597689
10000091 100460 CUSTOMER-000460      082902987
10000092 101102 CUSTOMER-001102      063116877
10000093 103448 CUSTOMER-003448      063181943
10000094 100190 CUSTOMER-000190      047559357
10000095 104180 CUSTOMER-004180      036702291
10000096 103718 CUSTOMER-003718      098103429
10000097 101576 CUSTOMER-001576      001140775
10000098 101546 CUSTOMER-001546      004259337
10000099 101924 CUSTOMER-001924      075471747
10000100 103358 CUSTOMER-003358      049814045
10000101 103472 CUSTOMER-003472      000086415
10000102 103202 CUSTOMER-003202      063886721
10000103 100112 CUSTOMER-000112      081603183
10000104 102194 CUSTOMER-002194      021644177
10000105 103928 CUSTOMER-003928      069257559
10000106 102482 CUSTOMER-002482      075661233
10000107 101324 CUSTOMER-001324      013279787
10000108 104546 CUSTOMER-004546      049133249
10000109 100916 CUSTOMER-000916      054359699
10000110 104006 CUSTOMER-004006      063223973
10000111 100604 CUSTOMER-000604      009712475
10000112 101126 CUSTOMER-001126      008114021
10000113 101672 CUSTOMER-001672      086443143
10000114 101078 CUSTOMER-001078      077221941
10000115 101552 CUSTOMER-001552      044798735
10000116 100154 CUSTOMER-000154      003878297
